UserName,Name,Category,Followers,Following,Post Created Date,Post Created Time,Number of Post,Total Likes,Total Comments,Total Interactions,Posts,Post URLs,Type,Link,Like and view counts disabled,Profile Picture URL,Hashtags
tibber,Tibber,Product/service,15849,33,2023-05-05,16:01:41,27,49,2,51,"[""A Swedish saying meaning that one wastes both energy and money through unnecessary heating.\n\nA typical fire for the crows is having a too high indoor temperature and at the same time open doors and windows. Make sure the local crows don't skimp on your electricity bill – don’t light a fire for the crows!""]",https://instagram.com/p/Cr3TOtMNMlI,Photo,https://instagram.com/tibber,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/210591462_561322628218951_5588817476684188116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=pe_1p8FnK08AX-5LTju&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfB8eXDN_ok0ZfW0z9o4ewPi0kbu-iBFc7LIqy1RolTtWA&oe=64A9CF5C&_nc_sid=29ddf3,[]
tibber,Tibber,Product/service,15849,33,2023-04-27,14:41:34,27,158,3,161,['We are teaming up with @polestarcars to make it even smarter to own an electric car!\n\nNow Tibber customers owning a Polestar and a wallbox that can be integrated to the Tibber app are able to easily smart charge their car.\n\nSmart charging is one of Tibber’s most appreciated features by which we charge users’ EVs when the electricity price is at its lowest – fully automatic.\n\n #tibber #jointheelectricrevolution #EV #electriccar #chargingcar #polestarcars'],https://instagram.com/p/Crijs_QK2Ph,Photo,https://instagram.com/tibber,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/210591462_561322628218951_5588817476684188116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=pe_1p8FnK08AX-5LTju&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfB8eXDN_ok0ZfW0z9o4ewPi0kbu-iBFc7LIqy1RolTtWA&oe=64A9CF5C&_nc_sid=29ddf3,"['tibber', 'jointheelectricrevolution', 'EV', 'electriccar', 'chargingcar', 'polestarcars']"
